date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
18:44:59	25835/25835	---M-Z	404	error ('Not%20Found')	text/html	etag:W/%220baa799171fdff4c6ea79b5de252d482%22	http://www.mervynupton.co.uk/films/%22//www.youtube.com/embed/4YERhkcXQ38?wmode=opaque&enablejsapi=1%22	Desktop/mervyn-upton/www.mervynupton.co.uk/films/_/www.youtube.com/embed/4YERhkcXQ38.788344.delayed	(from http://www.mervynupton.co.uk/films/)
18:45:00	381/381	---M--	400	error ('Bad%20Request')	text/html	date:Wed,%2015%20Aug%202018%2017:45:00%20UTC	http://www.mervynupton.co.uk/%22//www.youtube.com/embed/IBVPt8rRmDQ?wmode=opaque&amp;enablejsapi=1\%22	Desktop/mervyn-upton/www.mervynupton.co.uk/_/www.youtube.com/embed/IBVPt8rRmDQ.799ae1.delayed	(from http://www.mervynupton.co.uk/films/)
18:45:01	25835/25835	---M-Z	404	error ('Not%20Found')	text/html	etag:W/%220baa799171fdff4c6ea79b5de252d482%22	http://www.mervynupton.co.uk/films/%22//www.youtube.com/embed/IBVPt8rRmDQ?wmode=opaque&enablejsapi=1%22	Desktop/mervyn-upton/www.mervynupton.co.uk/films/_/www.youtube.com/embed/IBVPt8rRmDQ.7a8344.delayed	(from http://www.mervynupton.co.uk/films/)
18:45:02	381/381	---M--	400	error ('Bad%20Request')	text/html	date:Wed,%2015%20Aug%202018%2017:45:02%20UTC	http://www.mervynupton.co.uk/%22//www.youtube.com/embed/9fpDajVaQBc?wmode=opaque&amp;enablejsapi=1\%22	Desktop/mervyn-upton/www.mervynupton.co.uk/_/www.youtube.com/embed/9fpDajVaQBc.7b9ae1.delayed	(from http://www.mervynupton.co.uk/films/)
18:45:03	25835/25835	---M-Z	404	error ('Not%20Found')	text/html	etag:W/%220baa799171fdff4c6ea79b5de252d482%22	http://www.mervynupton.co.uk/films/%22//www.youtube.com/embed/9fpDajVaQBc?wmode=opaque&enablejsapi=1%22	Desktop/mervyn-upton/www.mervynupton.co.uk/films/_/www.youtube.com/embed/9fpDajVaQBc.7c8344.delayed	(from http://www.mervynupton.co.uk/films/)
18:45:04	381/381	---M--	400	error ('Bad%20Request')	text/html	date:Wed,%2015%20Aug%202018%2017:45:04%20UTC	http://www.mervynupton.co.uk/%22//www.youtube.com/embed/Eo3OIbOQM3s?list=PLzA5WNGSs-SHRzokcaSr3-cI12hI8KYgB&amp;wmode=opaque&amp;enablejsapi=1\%22	Desktop/mervyn-upton/www.mervynupton.co.uk/_/www.youtube.com/embed/Eo3OIbOQM3s.7d8b0b.delayed	(from http://www.mervynupton.co.uk/films/)
18:45:05	25835/25835	---M-Z	404	error ('Not%20Found')	text/html	etag:W/%220baa799171fdff4c6ea79b5de252d482%22	http://www.mervynupton.co.uk/films/%22//www.youtube.com/embed/Eo3OIbOQM3s?list=PLzA5WNGSs-SHRzokcaSr3-cI12hI8KYgB&wmode=opaque&enablejsapi=1%22	Desktop/mervyn-upton/www.mervynupton.co.uk/films/_/www.youtube.com/embed/Eo3OIbOQM3s.7e2420.delayed	(from http://www.mervynupton.co.uk/films/)
18:45:06	381/381	---M--	400	error ('Bad%20Request')	text/html	date:Wed,%2015%20Aug%202018%2017:45:06%20UTC	http://www.mervynupton.co.uk/%22//www.youtube.com/embed/Y6XNKpzVl3A?wmode=opaque&amp;enablejsapi=1\%22	Desktop/mervyn-upton/www.mervynupton.co.uk/_/www.youtube.com/embed/Y6XNKpzVl3A.7f9ae1.delayed	(from http://www.mervynupton.co.uk/films/)
18:45:07	25835/25835	---M-Z	404	error ('Not%20Found')	text/html	etag:W/%220baa799171fdff4c6ea79b5de252d482%22	http://www.mervynupton.co.uk/films/%22//www.youtube.com/embed/Y6XNKpzVl3A?wmode=opaque&enablejsapi=1%22	Desktop/mervyn-upton/www.mervynupton.co.uk/films/_/www.youtube.com/embed/Y6XNKpzVl3A.808344.delayed	(from http://www.mervynupton.co.uk/films/)
18:45:08	381/381	---M--	400	error ('Bad%20Request')	text/html	date:Wed,%2015%20Aug%202018%2017:45:08%20UTC	http://www.mervynupton.co.uk/%22//www.youtube.com/embed/lvwo79gdncw?wmode=opaque&amp;enablejsapi=1\%22	Desktop/mervyn-upton/www.mervynupton.co.uk/_/www.youtube.com/embed/lvwo79gdncw.819ae1.delayed	(from http://www.mervynupton.co.uk/films/)
